customer_id,age,income,education_level,purchase_frequency,avg_purchase_value,last_purchase_days,satisfaction_score,loyalty_years
CUST00001,56,99480.0,High School,5.20,10.00,13,4.0,6.4
CUST00002,69,79185.0,Bachelor,0.83,21.81,0,4.0,3.1
CUST00003,46,48263.0,Bachelor,9.14,10.00,101,NaN,5.1
CUST00004,32,73564.0,High School,2.96,39.35,73,4.0,9.1
CUST00005,60,48414.0,Bachelor,6.79,49.21,78,2.0,2.5
CUST00006,25,48356.0,High School,3.46,31.66,88,4.0,4.1
CUST00007,38,66043.0,High School,5.44,176.46,4,5.0,7.6
CUST00008,56,20000.0,PhD,5.69,44.12,26,4.0,2.3
CUST00009,75,20000.0,Other,2.26,32.98,7,5.0,0.8
CUST00010,36,45942.0,Master,9.71,78.24,119,4.0,2.9
CUST00011,40,34679.0,Bachelor,7.86,15.19,58,4.0,1.6
CUST00012,28,67856.0,High School,9.43,162.05,24,4.0,9.3
CUST00013,28,NaN,Bachelor,9.00,10.00,3,1.0,8.1
CUST00014,41,24692.0,Bachelor,6.18,433.41,22,2.0,6.3
CUST00015,70,96641.0,NaN,9.26,147.95,23,1.0,8.7
